id,notaventa,monto,tipo
2,21553,62500,Efectivo
3,21555,81400,"Mercado Libre"
4,21556,63000,"Mercado Libre"
5,21558,197925,Cheque
6,21558,5000,Efectivo
7,21563,306000,Cheque
8,21564,27000,Efectivo
9,21565,173000,"Contra Entrega"
10,21566,19050,"Contra Entrega"
11,21567,209160,Mercadopago
12,21567,2500,"Contra Entrega"
13,21568,157145,"Contra Entrega"
14,21569,37500,"Mercado Libre"
15,21570,85500,Efectivo
16,21571,29500,"Contra Entrega"
17,21572,180.7,"Transferencia Bancaria"
18,21573,139500,Tarjeta
19,21573,118000,"Contra Entrega"
20,21574,127696,"Mercado Libre"
21,21575,48450,"Mercado Libre"
22,21576,510000,Cheque
23,21577,265000,Efectivo
24,21578,147000,Efectivo
25,21580,0,Cheque
26,21581,233000,Mercadopago
27,21582,16432,Efectivo
28,21583,113400,Efectivo
29,21584,252000,Mercadopago
30,21585,50598,"Mercado Libre"
31,21586,50598,"Mercado Libre"
32,21587,200000,Efectivo
33,21588,3779,"Mercado Libre"
34,21589,1341,Efectivo
35,21590,280181,Tarjeta
36,21591,162900,"Transferencia Bancaria"
37,21592,50598,"Mercado Libre"
38,21593,50598,"Mercado Libre"
39,21594,50598,"Mercado Libre"
40,21595,48450,"Mercado Libre"
41,21596,120000,Efectivo
42,21597,180180,"Mercado Libre"
43,21597,8000,"Contra Entrega"
44,21598,5300,Mercadopago
45,21599,0,Financiado
46,21599,0,Financiado
47,21599,0,Financiado
48,21600,466295,ECheck
49,21601,115500,Efectivo
50,21602,48990,Efectivo
51,21603,294700,Efectivo
52,21604,11102,"Mercado Libre"
53,21605,3779,"Mercado Libre"
54,21606,11102,"Mercado Libre"
55,21607,322000,"Contra Entrega"
56,21608,78000,Efectivo
57,21609,679400,Cheque
58,21610,1,Efectivo
59,21611,679000,Cheque
60,21613,67980,"Transferencia Bancaria"
61,21614,19050,Efectivo
62,21615,206930,"Transferencia Bancaria"
63,21616,22708,"Mercado Libre"
64,21617,260150,Tarjeta
65,21618,20950,Efectivo
66,21619,223242,"Mercado Libre"
67,21620,168000,Mercadopago
68,21621,356700,Efectivo
69,21622,63580,Efectivo
70,21623,50000,Mercadopago
71,21623,427000,Efectivo
72,21624,0,Financiado
73,21624,101877,Efectivo
74,21625,171300,Efectivo
